generated_run_id,forecast_period_date_key,kpi_id,market_id,team_id,model_name,forecast_value,lower_bound,upper_bound
3,20260531,1,,,rolling_avg_3,5.0,5.0,5.0
3,20260531,1,,1,rolling_avg_3,2.0,2.0,2.0
3,20260531,1,,2,rolling_avg_3,2.0,2.0,2.0
3,20260531,1,,3,rolling_avg_3,1.0,1.0,1.0
3,20260531,1,1,,rolling_avg_3,1.0,1.0,1.0
3,20260531,1,2,,rolling_avg_3,1.0,1.0,1.0
3,20260531,1,3,,rolling_avg_3,1.0,1.0,1.0
3,20260531,1,4,,rolling_avg_3,2.0,2.0,2.0
3,20260531,2,,,rolling_avg_3,1.0,0.0,2.0
3,20260531,2,,1,rolling_avg_3,0.6666666666666666,0.0,1.0
3,20260531,2,,2,rolling_avg_3,0.0,0.0,0.0
3,20260531,2,,3,rolling_avg_3,0.3333333333333333,0.0,1.0
3,20260531,2,1,,rolling_avg_3,0.3333333333333333,0.0,1.0
3,20260531,2,2,,rolling_avg_3,0.0,0.0,0.0
3,20260531,2,3,,rolling_avg_3,0.0,0.0,0.0
3,20260531,2,4,,rolling_avg_3,0.6666666666666666,0.0,1.0
3,20260531,5,,,rolling_avg_3,4.0,3.0,5.0
3,20260531,5,,1,rolling_avg_3,1.3333333333333333,1.0,2.0
3,20260531,5,,2,rolling_avg_3,2.0,2.0,2.0
3,20260531,5,,3,rolling_avg_3,0.6666666666666666,0.0,1.0
3,20260531,5,1,,rolling_avg_3,0.6666666666666666,0.0,1.0
3,20260531,5,2,,rolling_avg_3,1.0,1.0,1.0
3,20260531,5,3,,rolling_avg_3,1.0,1.0,1.0
3,20260531,5,4,,rolling_avg_3,1.3333333333333333,1.0,2.0
3,20260531,6,,,rolling_avg_3,1.0,1.0,1.0
3,20260531,6,,1,rolling_avg_3,1.0,1.0,1.0
3,20260531,6,,2,rolling_avg_3,0.0,0.0,0.0
3,20260531,6,,3,rolling_avg_3,0.0,0.0,0.0
3,20260531,6,1,,rolling_avg_3,0.0,0.0,0.0
3,20260531,6,2,,rolling_avg_3,0.0,0.0,0.0
3,20260531,6,3,,rolling_avg_3,0.0,0.0,0.0
3,20260531,6,4,,rolling_avg_3,1.0,1.0,1.0
